Draco Malfoy,122222221,10 Slytherin Lane,Seattle,Washington,55432,true
Harry Potter,123456789,4 Privet Drive,Little Whinging,Surrey,30128,true
s,11-29-2018 02:44:12,11-29-2018,987654321,123456789,123456,Test
s,12-02-2018 03:08:04,12-20-2018,123456789,123456789,888888,none
s,12-02-2018 16:21:44,12-03-2018,123456789,123456789,222222,He did not like the tea
s,12-03-2018 17:00:27,10-20-2019,987654321,123456789,888888,none
s,12-04-2018 18:28:17,12-12-2018,123456789,123456789,111111,null
s,12-04-2018 18:30:44,12-12-2018,123456789,123456789,111111,Test Comment
s,12-04-2018 18:36:58,11-12-2018,987654321,123456789,888888,null
s,12-04-2018 18:42:44,10-12-2018,111111111,123456789,222222,Test
s,12-04-2018 18:43:37,08-08-2018,111111111,123456789,123456,Comment
Neville Longbottom,123123123,123 Goofy Lane,Chicago,Illinois,12345,true
Ronald Weasley,676767676,221B Baker Street,Belk,Alabama,31902,false
s,12-02-2018 02:44:12,12-02-2018,123456789,676767676,333333,Not too great
s,12-05-2018 01:10:12,12-05-2018,987654321,676767676,888888,Check up
